Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Sales,Year,Month
CA-2017-117590,2017-12-08,First Class,Corporate,Central,Technology,Phones,1097.54,2017,12
CA-2017-117590,2017-12-08,First Class,Corporate,Central,Furniture,Furnishings,190.92,2017,12
CA-2016-117415,2016-12-27,Standard Class,Home Office,Central,Office Supplies,Envelopes,113.33,2016,12
CA-2016-117415,2016-12-27,Standard Class,Home Office,Central,Furniture,Bookcases,532.4,2016,12
CA-2016-117415,2016-12-27,Standard Class,Home Office,Central,Furniture,Chairs,212.06,2016,12
CA-2016-117415,2016-12-27,Standard Class,Home Office,Central,Technology,Phones,371.17,2016,12
CA-2018-120999,2018-09-10,Standard Class,Corporate,Central,Technology,Phones,147.17,2018,9
CA-2017-101343,2017-07-17,Standard Class,Corporate,West,Office Supplies,Storage,77.88,2017,7
CA-2018-139619,2018-09-19,Standard Class,Corporate,South,Office Supplies,Storage,95.62,2018,9
CA-2017-118255,2017-03-11,First Class,Corporate,Central,Technology,Accessories,45.98,2017,3
CA-2017-118255,2017-03-11,First Class,Corporate,Central,Office Supplies,Binders,17.46,2017,3
CA-2015-146703,2015-10-20,Second Class,Consumer,Central,Office Supplies,Storage,211.96,2015,10
CA-2017-169194,2017-06-20,Standard Class,Consumer,East,Technology,Accessories,45.0,2017,6
CA-2017-169194,2017-06-20,Standard Class,Consumer,East,Technology,Phones,21.8,2017,6
CA-2016-115742,2016-04-18,Standard Class,Consumer,Central,Office Supplies,Binders,38.22,2016,4
CA-2016-115742,2016-04-18,Standard Class,Consumer,Central,Office Supplies,Labels,75.18,2016,4
CA-2016-115742,2016-04-18,Standard Class,Consumer,Central,Furniture,Furnishings,6.16,2016,4
CA-2016-115742,2016-04-18,Standard Class,Consumer,Central,Furniture,Chairs,89.99,2016,4
CA-2017-105816,2017-12-11,Standard Class,Corporate,East,Office Supplies,Fasteners,15.26,2017,12
CA-2017-105816,2017-12-11,Standard Class,Corporate,East,Technology,Phones,1029.95,2017,12
CA-2017-111682,2017-06-17,First Class,Consumer,East,Office Supplies,Storage,208.56,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Office Supplies,Paper,32.4,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Furniture,Chairs,319.41,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Office Supplies,Paper,14.56,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Technology,Accessories,30.0,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Office Supplies,Binders,48.48,2017,6
CA-2017-111682,2017-06-17,First Class,Consumer,East,Office Supplies,Art,1.68,2017,6
CA-2016-135545,2016-11-24,Standard Class,Consumer,West,Technology,Accessories,13.98,2016,11
CA-2016-135545,2016-11-24,Standard Class,Consumer,West,Office Supplies,Binders,25.82,2016,11
CA-2016-135545,2016-11-24,Standard Class,Consumer,West,Office Supplies,Paper,146.73,2016,11
CA-2016-135545,2016-11-24,Standard Class,Consumer,West,Furniture,Furnishings,79.76,2016,11
US-2016-164175,2016-04-30,Standard Class,Home Office,Central,Furniture,Chairs,213.12,2016,4
CA-2015-106376,2015-12-05,Standard Class,Corporate,West,Office Supplies,Art,1113.02,2015,12
CA-2015-106376,2015-12-05,Standard Class,Corporate,West,Technology,Phones,167.97,2015,12
CA-2017-119823,2017-06-04,First Class,Consumer,South,Office Supplies,Paper,75.88,2017,6
CA-2017-106075,2017-09-18,Standard Class,Consumer,East,Office Supplies,Binders,4.62,2017,9
CA-2018-114440,2018-09-14,Second Class,Consumer,Central,Office Supplies,Paper,19.05,2018,9
US-2016-134026,2016-04-26,Standard Class,Consumer,South,Furniture,Chairs,831.94,2016,4
US-2016-134026,2016-04-26,Standard Class,Consumer,South,Furniture,Furnishings,97.04,2016,4
US-2016-134026,2016-04-26,Standard Class,Consumer,South,Office Supplies,Storage,72.78,2016,4
US-2018-118038,2018-12-09,First Class,Corporate,Central,Office Supplies,Binders,1.25,2018,12
US-2018-118038,2018-12-09,First Class,Corporate,Central,Furniture,Furnishings,9.71,2018,12
US-2018-118038,2018-12-09,First Class,Corporate,Central,Office Supplies,Storage,27.24,2018,12
US-2015-147606,2015-11-26,Second Class,Consumer,Central,Furniture,Furnishings,19.3,2015,11
CA-2017-127208,2017-06-12,First Class,Corporate,South,Office Supplies,Appliances,208.16,2017,6
CA-2017-127208,2017-06-12,First Class,Corporate,South,Office Supplies,Binders,16.74,2017,6
CA-2015-139451,2015-10-12,Standard Class,Consumer,West,Office Supplies,Art,14.9,2015,10
CA-2015-139451,2015-10-12,Standard Class,Consumer,West,Office Supplies,Storage,21.39,2015,10
CA-2016-149734,2016-09-03,Standard Class,Corporate,South,Office Supplies,Envelopes,200.98,2016,9
US-2018-119662,2018-11-13,First Class,Home Office,Central,Office Supplies,Storage,230.38,2018,11
CA-2018-140088,2018-05-28,Second Class,Consumer,South,Furniture,Chairs,301.96,2018,5
CA-2018-155558,2018-10-26,Standard Class,Consumer,Central,Technology,Accessories,19.99,2018,10
CA-2018-155558,2018-10-26,Standard Class,Consumer,Central,Office Supplies,Labels,6.16,2018,10
CA-2017-159695,2017-04-05,Second Class,Home Office,Central,Office Supplies,Storage,158.37,2017,4
CA-2017-109806,2017-09-17,Standard Class,Corporate,West,Office Supplies,Art,20.1,2017,9
CA-2017-109806,2017-09-17,Standard Class,Corporate,West,Technology,Phones,73.58,2017,9
CA-2017-109806,2017-09-17,Standard Class,Corporate,West,Office Supplies,Paper,6.48,2017,9
CA-2016-149587,2016-01-31,Second Class,Consumer,Central,Office Supplies,Paper,12.96,2016,1
CA-2016-149587,2016-01-31,Second Class,Consumer,Central,Furniture,Furnishings,53.34,2016,1
CA-2016-149587,2016-01-31,Second Class,Consumer,Central,Office Supplies,Binders,32.96,2016,1
US-2018-109484,2018-11-06,Standard Class,Home Office,West,Office Supplies,Binders,5.68,2018,11
CA-2018-161018,2018-11-09,Second Class,Home Office,East,Furniture,Furnishings,96.53,2018,11
CA-2018-157833,2018-06-17,First Class,Consumer,West,Office Supplies,Binders,51.31,2018,6
CA-2017-149223,2017-09-06,Standard Class,Corporate,Central,Office Supplies,Appliances,77.88,2017,9
CA-2017-158568,2017-08-29,Standard Class,Home Office,Central,Office Supplies,Paper,64.62,2017,8
CA-2017-158568,2017-08-29,Standard Class,Home Office,Central,Technology,Accessories,95.98,2017,8
CA-2017-158568,2017-08-29,Standard Class,Home Office,Central,Office Supplies,Binders,1.79,2017,8
CA-2017-129903,2017-12-01,Second Class,Consumer,Central,Office Supplies,Paper,23.92,2017,12
US-2016-156867,2016-11-13,Standard Class,Consumer,West,Technology,Accessories,238.9,2016,11
US-2016-156867,2016-11-13,Standard Class,Consumer,West,Furniture,Furnishings,102.36,2016,11
US-2016-156867,2016-11-13,Standard Class,Consumer,West,Office Supplies,Binders,36.88,2016,11
CA-2018-119004,2018-11-23,Standard Class,Consumer,South,Technology,Accessories,74.11,2018,11
CA-2018-119004,2018-11-23,Standard Class,Consumer,South,Technology,Phones,27.99,2018,11
CA-2018-119004,2018-11-23,Standard Class,Consumer,South,Office Supplies,Art,3.3,2018,11
CA-2016-129476,2016-10-15,Standard Class,Home Office,Central,Technology,Accessories,339.96,2016,10
CA-2018-146780,2018-12-25,Standard Class,Corporate,East,Furniture,Furnishings,41.96,2018,12
CA-2017-128867,2017-11-03,Standard Class,Consumer,Central,Office Supplies,Art,75.96,2017,11
CA-2017-128867,2017-11-03,Standard Class,Consumer,Central,Office Supplies,Binders,27.24,2017,11
CA-2015-115259,2015-08-25,Second Class,Consumer,East,Office Supplies,Fasteners,40.1,2015,8
CA-2015-115259,2015-08-25,Second Class,Consumer,East,Office Supplies,Envelopes,4.72,2015,8
CA-2015-115259,2015-08-25,Second Class,Consumer,East,Office Supplies,Paper,23.98,2015,8
CA-2015-115259,2015-08-25,Second Class,Consumer,East,Office Supplies,Envelopes,130.46,2015,8
CA-2016-110457,2016-03-02,Standard Class,Consumer,West,Furniture,Tables,787.53,2016,3
US-2016-136476,2016-04-05,Standard Class,Corporate,South,Office Supplies,Binders,157.79,2016,4
CA-2017-103730,2017-06-12,First Class,Consumer,East,Furniture,Furnishings,47.04,2017,6
CA-2017-103730,2017-06-12,First Class,Consumer,East,Office Supplies,Binders,30.84,2017,6
CA-2017-103730,2017-06-12,First Class,Consumer,East,Office Supplies,Storage,226.56,2017,6
CA-2017-103730,2017-06-12,First Class,Consumer,East,Office Supplies,Envelopes,115.02,2017,6
CA-2017-103730,2017-06-12,First Class,Consumer,East,Technology,Phones,68.04,2017,6
US-2015-152030,2015-12-26,Second Class,Home Office,Central,Furniture,Chairs,600.56,2015,12
US-2015-134614,2015-09-20,Standard Class,Consumer,Central,Furniture,Tables,617.7,2015,9
US-2018-107272,2018-11-05,Standard Class,Consumer,West,Office Supplies,Binders,2.39,2018,11
US-2018-107272,2018-11-05,Standard Class,Consumer,West,Office Supplies,Storage,243.99,2018,11
US-2017-125969,2017-11-06,Second Class,Home Office,West,Furniture,Chairs,81.42,2017,11
US-2017-125969,2017-11-06,Second Class,Home Office,West,Furniture,Furnishings,238.56,2017,11
US-2018-164147,2018-02-02,First Class,Corporate,East,Technology,Phones,59.97,2018,2
US-2018-164147,2018-02-02,First Class,Corporate,East,Office Supplies,Paper,78.3,2018,2
US-2018-164147,2018-02-02,First Class,Corporate,East,Office Supplies,Fasteners,21.46,2018,2
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Paper,20.04,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Paper,35.44,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Art,11.52,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Fasteners,4.02,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Binders,76.18,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Office Supplies,Supplies,65.88,2017,10
CA-2017-145583,2017-10-13,Standard Class,Consumer,West,Furniture,Furnishings,43.12,2017,10
CA-2017-110366,2017-09-05,Second Class,Corporate,East,Furniture,Furnishings,82.8,2017,9
CA-2018-106180,2018-09-18,Standard Class,Corporate,West,Office Supplies,Art,8.82,2018,9
CA-2018-106180,2018-09-18,Standard Class,Corporate,West,Office Supplies,Envelopes,10.86,2018,9
CA-2018-106180,2018-09-18,Standard Class,Corporate,West,Office Supplies,Paper,143.7,2018,9
CA-2018-155376,2018-12-22,Standard Class,Consumer,Central,Office Supplies,Appliances,839.43,2018,12
CA-2016-110744,2016-09-07,Standard Class,Consumer,West,Office Supplies,Storage,671.93,2016,9
CA-2015-110072,2015-10-22,Standard Class,Home Office,East,Furniture,Furnishings,93.89,2015,10
CA-2017-114489,2017-12-05,Standard Class,Corporate,Central,Technology,Phones,384.45,2017,12
CA-2017-114489,2017-12-05,Standard Class,Corporate,Central,Technology,Phones,149.97,2017,12
CA-2017-114489,2017-12-05,Standard Class,Corporate,Central,Furniture,Chairs,1951.84,2017,12
CA-2017-114489,2017-12-05,Standard Class,Corporate,Central,Office Supplies,Binders,171.55,2017,12
CA-2017-158834,2017-03-13,First Class,Home Office,West,Office Supplies,Appliances,157.92,2017,3
CA-2017-158834,2017-03-13,First Class,Home Office,West,Technology,Phones,203.18,2017,3
CA-2016-124919,2016-05-31,First Class,Corporate,West,Office Supplies,Paper,58.38,2016,5
CA-2016-124919,2016-05-31,First Class,Corporate,West,Office Supplies,Paper,105.52,2016,5
CA-2016-124919,2016-05-31,First Class,Corporate,West,Office Supplies,Storage,80.88,2016,5
CA-2016-118948,2016-05-28,Standard Class,Home Office,West,Office Supplies,Art,6.63,2016,5
CA-2015-104269,2015-03-01,Second Class,Consumer,West,Furniture,Chairs,457.57,2015,3
CA-2017-114104,2017-11-20,Standard Class,Consumer,Central,Office Supplies,Labels,14.62,2017,11
CA-2017-114104,2017-11-20,Standard Class,Consumer,Central,Technology,Phones,944.93,2017,11
CA-2017-162733,2017-05-11,First Class,Consumer,West,Office Supplies,Paper,5.98,2017,5
CA-2016-119697,2016-12-28,Second Class,Consumer,East,Technology,Accessories,54.38,2016,12
CA-2017-154508,2017-11-16,Standard Class,Consumer,West,Office Supplies,Envelopes,28.4,2017,11
CA-2017-113817,2017-11-07,Standard Class,Consumer,West,Office Supplies,Binders,27.68,2017,11
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Office Supplies,Art,9.94,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Technology,Machines,8159.95,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Office Supplies,Storage,275.93,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Furniture,Chairs,1740.06,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Office Supplies,Art,32.06,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Office Supplies,Appliances,177.98,2015,9
CA-2015-139892,2015-09-08,Standard Class,Consumer,Central,Technology,Phones,143.98,2015,9
CA-2015-118962,2015-08-05,Standard Class,Consumer,West,Office Supplies,Paper,20.94,2015,8
CA-2015-118962,2015-08-05,Standard Class,Consumer,West,Office Supplies,Paper,110.96,2015,8
CA-2015-118962,2015-08-05,Standard Class,Consumer,West,Furniture,Chairs,340.14,2015,8
US-2015-100853,2015-09-14,Standard Class,Corporate,Central,Office Supplies,Appliances,52.45,2015,9
US-2015-100853,2015-09-14,Standard Class,Corporate,Central,Office Supplies,Labels,20.16,2015,9
US-2018-152366,2018-04-21,Second Class,Consumer,Central,Office Supplies,Appliances,97.26,2018,4
US-2016-101511,2016-11-21,Second Class,Consumer,East,Furniture,Chairs,396.8,2016,11
US-2016-101511,2016-11-21,Second Class,Consumer,East,Office Supplies,Supplies,15.88,2016,11
CA-2016-137225,2016-12-15,Standard Class,Home Office,East,Office Supplies,Art,3.28,2016,12
CA-2015-166191,2015-12-05,Second Class,Corporate,Central,Office Supplies,Storage,24.82,2015,12
CA-2015-166191,2015-12-05,Second Class,Corporate,Central,Technology,Accessories,408.74,2015,12
CA-2015-158274,2015-11-19,Second Class,Home Office,South,Technology,Phones,503.96,2015,11
CA-2015-158274,2015-11-19,Second Class,Home Office,South,Technology,Phones,149.95,2015,11
CA-2015-158274,2015-11-19,Second Class,Home Office,South,Technology,Accessories,29.0,2015,11
CA-2017-105018,2017-11-28,Standard Class,Consumer,East,Office Supplies,Binders,7.16,2017,11
CA-2015-123260,2015-08-26,Standard Class,Home Office,West,Technology,Accessories,176.8,2015,8
CA-2017-157000,2017-07-16,Standard Class,Corporate,Central,Office Supplies,Storage,37.22,2017,7
CA-2017-157000,2017-07-16,Standard Class,Corporate,Central,Office Supplies,Paper,20.02,2017,7
CA-2016-102281,2016-10-12,First Class,Home Office,East,Furniture,Bookcases,899.14,2016,10
CA-2016-102281,2016-10-12,First Class,Home Office,East,Technology,Phones,71.76,2016,10
CA-2016-102281,2016-10-12,First Class,Home Office,East,Office Supplies,Paper,51.84,2016,10
CA-2016-102281,2016-10-12,First Class,Home Office,East,Furniture,Bookcases,626.35,2016,10
CA-2016-102281,2016-10-12,First Class,Home Office,East,Office Supplies,Art,19.9,2016,10
CA-2016-131457,2016-10-31,Standard Class,Corporate,West,Office Supplies,Envelopes,14.28,2016,10
CA-2015-140004,2015-03-21,Standard Class,Consumer,East,Office Supplies,Art,7.41,2015,3
CA-2015-140004,2015-03-21,Standard Class,Consumer,East,Office Supplies,Art,6.05,2015,3
CA-2018-107720,2018-11-06,Standard Class,Home Office,East,Office Supplies,Storage,46.26,2018,11
US-2018-124303,2018-07-06,Standard Class,Corporate,East,Office Supplies,Binders,2.95,2018,7
US-2018-124303,2018-07-06,Standard Class,Corporate,East,Office Supplies,Paper,16.06,2018,7
CA-2018-105074,2018-06-24,Standard Class,Consumer,East,Office Supplies,Paper,21.74,2018,6
CA-2015-133690,2015-08-03,First Class,Consumer,West,Furniture,Tables,218.75,2015,8
CA-2015-133690,2015-08-03,First Class,Consumer,West,Office Supplies,Appliances,2.6,2015,8
US-2018-116701,2018-12-17,Second Class,Consumer,Central,Office Supplies,Appliances,66.28,2018,12
CA-2018-126382,2018-06-03,Standard Class,Corporate,South,Furniture,Furnishings,35.17,2018,6
CA-2018-108329,2018-12-09,Standard Class,Consumer,West,Technology,Phones,444.77,2018,12
CA-2018-135860,2018-12-01,Standard Class,Consumer,Central,Office Supplies,Storage,83.92,2018,12
CA-2018-135860,2018-12-01,Standard Class,Consumer,Central,Technology,Phones,131.98,2018,12
CA-2018-135860,2018-12-01,Standard Class,Consumer,Central,Office Supplies,Binders,15.92,2018,12
CA-2018-135860,2018-12-01,Standard Class,Consumer,Central,Office Supplies,Fasteners,52.29,2018,12
CA-2018-135860,2018-12-01,Standard Class,Consumer,Central,Office Supplies,Storage,91.99,2018,12
CA-2016-101007,2016-02-09,Second Class,Corporate,Central,Technology,Accessories,20.8,2016,2
CA-2016-146262,2016-01-02,Standard Class,Corporate,East,Office Supplies,Labels,23.68,2016,1
CA-2016-146262,2016-01-02,Standard Class,Corporate,East,Furniture,Bookcases,452.45,2016,1
CA-2016-146262,2016-01-02,Standard Class,Corporate,East,Technology,Phones,62.98,2016,1
CA-2016-146262,2016-01-02,Standard Class,Corporate,East,Technology,Machines,1188.0,2016,1
CA-2016-146262,2016-01-02,Standard Class,Corporate,East,Technology,Accessories,89.58,2016,1
CA-2017-130162,2017-10-28,Standard Class,Consumer,West,Office Supplies,Storage,93.06,2017,10
CA-2017-130162,2017-10-28,Standard Class,Consumer,West,Technology,Phones,302.38,2017,10
CA-2016-169397,2016-12-24,First Class,Consumer,East,Office Supplies,Fasteners,5.58,2016,12
CA-2016-169397,2016-12-24,First Class,Consumer,East,Office Supplies,Paper,22.7,2016,12
CA-2016-169397,2016-12-24,First Class,Consumer,East,Office Supplies,Binders,19.78,2016,12
CA-2016-169397,2016-12-24,First Class,Consumer,East,Furniture,Furnishings,72.7,2016,12
CA-2016-169397,2016-12-24,First Class,Consumer,East,Technology,Machines,479.99,2016,12
CA-2016-169397,2016-12-24,First Class,Consumer,East,Office Supplies,Art,27.17,2016,12
CA-2016-163055,2016-08-09,Standard Class,Corporate,Central,Office Supplies,Art,2.2,2016,8
CA-2016-163055,2016-08-09,Standard Class,Corporate,Central,Furniture,Tables,622.45,2016,8
CA-2016-163055,2016-08-09,Standard Class,Corporate,Central,Office Supplies,Storage,21.98,2016,8
US-2016-145436,2016-02-28,Standard Class,Consumer,South,Furniture,Chairs,161.57,2016,2
US-2016-145436,2016-02-28,Standard Class,Consumer,South,Furniture,Chairs,389.7,2016,2
US-2015-156216,2015-09-13,Standard Class,Corporate,South,Office Supplies,Binders,18.65,2015,9
US-2018-100930,2018-04-07,Standard Class,Home Office,South,Furniture,Tables,233.86,2018,4
US-2018-100930,2018-04-07,Standard Class,Home Office,South,Furniture,Tables,620.61,2018,4
US-2018-100930,2018-04-07,Standard Class,Home Office,South,Office Supplies,Binders,5.33,2018,4
US-2018-100930,2018-04-07,Standard Class,Home Office,South,Furniture,Furnishings,258.07,2018,4
US-2018-100930,2018-04-07,Standard Class,Home Office,South,Technology,Accessories,617.98,2018,4
CA-2018-160514,2018-11-12,Standard Class,Corporate,West,Office Supplies,Paper,10.56,2018,11
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Office Supplies,Paper,25.92,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Furniture,Furnishings,419.68,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Furniture,Furnishings,11.69,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Technology,Phones,31.98,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Furniture,Tables,177.22,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Furniture,Furnishings,4.04,2017,6
CA-2017-157749,2017-06-04,Second Class,Consumer,Central,Office Supplies,Art,7.41,2017,6
CA-2015-131926,2015-06-01,Second Class,Home Office,Central,Furniture,Chairs,2001.86,2015,6
CA-2015-131926,2015-06-01,Second Class,Home Office,Central,Office Supplies,Storage,166.72,2015,6
CA-2015-131926,2015-06-01,Second Class,Home Office,Central,Office Supplies,Paper,47.88,2015,6
CA-2015-131926,2015-06-01,Second Class,Home Office,Central,Office Supplies,Appliances,1503.25,2015,6
CA-2015-131926,2015-06-01,Second Class,Home Office,Central,Office Supplies,Paper,25.92,2015,6
CA-2017-154739,2017-12-10,Second Class,Consumer,West,Furniture,Chairs,321.57,2017,12
CA-2017-145625,2017-09-11,Standard Class,Consumer,West,Office Supplies,Paper,7.61,2017,9
CA-2017-145625,2017-09-11,Standard Class,Consumer,West,Technology,Accessories,3347.37,2017,9
CA-2017-146941,2017-12-10,First Class,Consumer,East,Office Supplies,Storage,80.58,2017,12
CA-2017-146941,2017-12-10,First Class,Consumer,East,Office Supplies,Envelopes,361.92,2017,12
US-2016-159982,2016-11-28,Standard Class,Corporate,Central,Furniture,Furnishings,12.13,2016,11
US-2016-159982,2016-11-28,Standard Class,Corporate,Central,Office Supplies,Storage,82.37,2016,11
US-2016-159982,2016-11-28,Standard Class,Corporate,Central,Office Supplies,Storage,53.92,2016,11
US-2016-159982,2016-11-28,Standard Class,Corporate,Central,Technology,Phones,647.9,2016,11
CA-2018-163139,2018-12-01,Second Class,Consumer,East,Technology,Accessories,20.37,2018,12
CA-2018-163139,2018-12-01,Second Class,Consumer,East,Office Supplies,Storage,221.55,2018,12
CA-2018-163139,2018-12-01,Second Class,Consumer,East,Office Supplies,Binders,17.52,2018,12
US-2018-155299,2018-06-08,Standard Class,Corporate,Central,Office Supplies,Appliances,1.62,2018,6
US-2015-106992,2015-09-19,Second Class,Corporate,Central,Technology,Machines,3059.98,2015,9
US-2015-106992,2015-09-19,Second Class,Corporate,Central,Technology,Machines,2519.96,2015,9
CA-2017-125318,2017-06-06,Standard Class,Consumer,Central,Technology,Phones,328.22,2017,6
CA-2016-155040,2016-11-10,Standard Class,Consumer,West,Technology,Accessories,79.9,2016,11
CA-2018-136826,2018-06-16,Standard Class,Corporate,South,Office Supplies,Art,14.02,2018,6
CA-2017-111010,2017-01-22,Standard Class,Consumer,East,Office Supplies,Fasteners,7.56,2017,1
US-2018-145366,2018-12-09,Standard Class,Corporate,East,Office Supplies,Storage,37.21,2018,12
US-2018-145366,2018-12-09,Standard Class,Corporate,East,Office Supplies,Envelopes,57.58,2018,12
CA-2018-163979,2018-12-28,Second Class,Corporate,West,Office Supplies,Storage,725.84,2018,12
CA-2016-155334,2016-07-30,First Class,Consumer,West,Technology,Accessories,209.93,2016,7
CA-2016-155334,2016-07-30,First Class,Consumer,West,Furniture,Furnishings,5.28,2016,7
CA-2016-155334,2016-07-30,First Class,Consumer,West,Office Supplies,Binders,10.92,2016,7
CA-2018-118136,2018-09-16,First Class,Corporate,West,Office Supplies,Paper,8.82,2018,9
CA-2018-118136,2018-09-16,First Class,Corporate,West,Office Supplies,Art,5.98,2018,9
CA-2018-132976,2018-10-13,Standard Class,Corporate,East,Office Supplies,Paper,11.65,2018,10
CA-2018-132976,2018-10-13,Standard Class,Corporate,East,Office Supplies,Paper,18.18,2018,10
CA-2018-132976,2018-10-13,Standard Class,Corporate,East,Office Supplies,Storage,59.71,2018,10
CA-2018-132976,2018-10-13,Standard Class,Corporate,East,Office Supplies,Labels,24.84,2018,10
US-2016-161991,2016-09-26,Second Class,Consumer,Central,Office Supplies,Binders,2.08,2016,9
US-2016-161991,2016-09-26,Second Class,Consumer,Central,Technology,Phones,1114.4,2016,9
CA-2016-130890,2016-11-02,Standard Class,Consumer,West,Furniture,Tables,1038.84,2016,11
CA-2016-130883,2016-09-26,Standard Class,Consumer,West,Office Supplies,Paper,141.76,2016,9
CA-2016-130883,2016-09-26,Standard Class,Consumer,West,Technology,Accessories,239.8,2016,9
CA-2016-130883,2016-09-26,Standard Class,Consumer,West,Office Supplies,Paper,31.1,2016,9
CA-2017-112697,2017-12-18,Second Class,Corporate,South,Office Supplies,Binders,254.06,2017,12
CA-2017-112697,2017-12-18,Second Class,Corporate,South,Office Supplies,Appliances,194.53,2017,12
CA-2017-112697,2017-12-18,Second Class,Corporate,South,Office Supplies,Supplies,961.48,2017,12
